phone,price,value
Mi 8,179.99,1958.2976832046224
LG G7 ThinQ,169.99,1727.1133596093887
Redmi K30 Pro,425.99,1385.1921406605788
Redmi 9,150.98,1311.253146112068
Redmi Note 8 Pro,219.95,1309.715844510116
Galaxy S7 ,149.0,1254.7382550335572
HUAWEI nova 7,319.99,1253.8516828650895
Redmi K30 5G,256.99,1221.6467566831393
Poco F2 Pro,479.99,1188.8247671826496
HONOR 20 Pro,350.0,1163.88
Redmi Note 9S,239.99,1161.5400641693404
HONOR 20,350.0,1145.0114285714285
LG V50 ThinQ 5G,354.99,1143.5843263190511
HUAWEI nova 5T,349.99,1140.1068601960055
HUAWEI Mate 20 Pro,350.0,1107.9142857142858
realme X3,439.99,1107.7138116775382
Mi A2,153.99,1100.5584778232353
Redmi 7,113.87,1088.249758496531
Mi 9,409.99,1083.838630210493
Galaxy Note10+ ,419.99,1075.3756041810518
POCOPHONE F1,329.99,1075.3386466256552
OnePlus 7 Pro,439.99,1070.80160912748
Galaxy Note10 ,419.99,1054.2703397699945
Mi 9T Pro,409.99,1053.35252079319
realme X2 Pro,462.99,1046.5647206203157
Redmi Note 8,171.95,1012.3349810991568
Mi 8 Lite,179.99,1002.2612367353742
Redmi Note 9 Pro,279.99,998.9106753812636
HONOR Play,224.99,996.0531579181296
Galaxy S10 Lite,465.67,992.0351321751455
realme 6,297.98,967.5145982951875
Galaxy S9+ ,328.88,963.7466553150085
Redmi Note 8T,179.99,963.7035390855048
realme 6 Pro,297.98,952.3961339687227
Mi 9 Lite,227.49,942.7886940085278
Google Pixel 2 XL,239.99,942.476769865411
Mi 10,599.99,938.542309038484
Galaxy S10e ,439.99,928.8779290438418
Galaxy A50,179.99,923.5290849491638
HUAWEI nova 7i,338.78,914.2540881988311
Galaxy S7 Edge ,199.0,909.8492462311558
HONOR 10,249.99,908.4603384135365
realme 5i,189.0,908.2592592592592
Redmi 10X 4G,223.99,897.3659538372249
Redmi Note 7,199.99,890.5195259762987
Redmi Note 6 Pro,165.99,888.9631905536478
Galaxy S8 ,262.88,883.9090079123555
Mi Note 10 Lite,305.9,883.5828702190258
Mi Note 10,305.9,876.6100032690422
Galaxy S8+ ,262.88,863.1999391357274
realme XT,272.44,859.1873440023492
Galaxy S9 ,328.88,859.1553150085138
Redmi Note 7 Pro,251.0,849.2709163346614
Mi A3,208.43,848.6062467015305
HONOR 8X,199.0,839.1658291457286
Galaxy S10+ ,498.88,827.8684252726107
Galaxy Note 9 ,426.88,823.3414542728635
Galaxy S10 ,498.88,818.7900898011546
Galaxy S20+ 5G ,629.99,818.268543945142
realme Q,288.88,807.8337025754639
HONOR 9X,218.53,803.5326957397153
Galaxy A10,136.99,797.0581794291554
Galaxy Note 8 ,314.95,795.2024130814415
OnePlus 8 Pro,769.95,792.9956490681212
Galaxy Note 10 Lite,419.99,788.7449701183361
ROG Phone 3,799.99,769.1208640108001
Galaxy M21,232.99,763.3117301171724
Sony Xperia XZ1,298.0,762.8053691275168
Redmi 8A,119.95,758.7578157565653
Galaxy Note 9 ,426.88,741.6510494752624
Galaxy M31,259.99,736.689872687411
OnePlus Nord,448.99,728.2077551838571
Redmi 8,139.99,724.0517179798557
Mi MIX 2S,499.99,697.0739414788295
Galaxy A51,279.99,686.2066502375085
Galaxy S20 5G ,729.99,685.391580706585
Galaxy A70,319.99,679.8556204881403
HONOR 10i,252.0,661.3730158730159
Redmi Note 9,279.99,648.8838887103111
Galaxy A71,405.1,648.4621081214515
Mi 9T,409.99,642.3010317324813
Redmi 5 Plus,155.99,634.5150330149368
HUAWEI Mate 10 Pro,379.99,623.9506302797441
HUAWEI P20 Lite,178.15,619.5565534661802
Redmi Note 4,169.0,606.189349112426
Galaxy S20 Ultra 5G ,869.0,594.4223245109321
HUAWEI P30 Pro,699.99,575.3796482806897
Galaxy A5 2017,179.99,571.6428690482804
HUAWEI P30,699.99,569.2595608508693
ROG Phone 2,849.49,567.5122720691238
Galaxy Note20 Ultra 5G ,1099.99,541.2021927472068
HUAWEI P40 Pro 5G,898.87,535.8683680621224
OPPO Find X2 Pro,1159.99,518.8924042448642
Galaxy Note20 Ultra 5G ,1099.99,479.41617651069555
OPPO A5 2020,335.0,468.9044776119403
Redmi K20 Pro,936.18,454.18295626909355
Mi Note 10 Pro,650.0,423.15076923076924
HUAWEI P20 Pro,624.88,416.88004096786585
realme 5,455.0,360.2043956043956
Redmi Note 5 Pro,545.09,294.86139903502175
OPPO Reno4 4G,0.0,0.0
realme X Lite,0.0,0.0
Vsmart Active 3,0.0,0.0
Redmi Note 5 AI Dual Cam,0.0,0.0
